# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.349147514399648085e+00 7.078326018572084211e-01 1.948911937284166992e-02 4.254432160540641550e-02 4.075648841424017559e-03 3.259216346140589998e-02
3.351558313321573834e+00 7.078044487531996998e-01 1.947442283186078330e-02 4.252597503640278415e-02 4.106972708926016381e-03 3.257290385760443219e-02
3.353970847595978189e+00 7.077763154505712917e-01 1.945974135585853623e-02 4.250761934779132001e-02 4.138224833556000508e-03 3.255367371912549351e-02
3.356385118472011708e+00 7.077482019347447473e-01 1.944507493751072152e-02 4.248925455756234065e-02 4.169405278146694205e-03 3.253447301102203870e-02
3.358801127199722014e+00 7.077201081911429492e-01 1.943042356949315277e-02 4.247088068370614977e-02 4.200514105530788779e-03 3.251530169834704331e-02
3.361218875030057784e+00 7.076920342051877810e-01 1.941578724448163318e-02 4.245249774421304412e-02 4.231551378540997221e-03 3.249615974615344821e-02
3.363638363214868754e+00 7.076639799623017923e-01 1.940116595515196246e-02 4.243410575707331350e-02 4.262517160010037727e-03 3.247704711949420814e-02
3.366059593006903938e+00 7.076359454479068667e-01 1.938655969417994729e-02 4.241570474027725468e-02 4.293411512770599001e-03 3.245796378342229171e-02
3.368482565659816075e+00 7.076079306474254427e-01 1.937196845424138739e-02 4.239729471181515746e-02 4.324234499655404441e-03 3.243890970299064674e-02
3.370907282428158513e+00 7.075799355462796258e-01 1.935739222801209983e-02 4.237887568967733248e-02 4.354986183497142754e-03 3.241988484325224185e-02
3.373333744567388770e+00 7.075519601298916328e-01 1.934283100816786005e-02 4.236044769185407649e-02 4.385666627128541675e-03 3.240088916926001789e-02
3.375761953333868526e+00 7.075240043836837911e-01 1.932828478738450595e-02 4.234201073633567930e-02 4.416275893382294246e-03 3.238192264606692961e-02
3.378191909984861852e+00 7.074960682930783173e-01 1.931375355833782337e-02 4.232356484111245154e-02 4.446814045091103049e-03 3.236298523872595950e-02
3.380623615778540536e+00 7.074681518434974281e-01 1.929923731370362591e-02 4.230511002417469690e-02 4.477281145087688881e-03 3.234407691229004150e-02
3.383057071973979202e+00 7.074402550203630069e-01 1.928473604615769943e-02 4.228664630351268439e-02 4.507677256204744784e-03 3.232519763181214423e-02
3.385492279831161078e+00 7.074123778090979364e-01 1.927024974837587487e-02 4.226817369711675237e-02 4.538002441274982882e-03 3.230634736234521548e-02
3.387929240610975778e+00 7.073845201951241002e-01 1.925577841303392768e-02 4.224969222297715599e-02 4.568256763131121369e-03 3.228752606894222388e-02
3.390367955575218417e+00 7.073566821638633817e-01 1.924132203280768186e-02 4.223120189908420585e-02 4.598440284605847216e-03 3.226873371665611029e-02
3.392808425986596710e+00 7.073288637007385526e-01 1.922688060037292673e-02 4.221270274342821954e-02 4.628553068531888158e-03 3.224997027053983639e-02
3.395250653108722538e+00 7.073010647911714965e-01 1.921245410840547937e-02 4.219419477399946605e-02 4.658595177741929431e-03 3.223123569564636387e-02
3.397694638206121276e+00 7.072732854205844299e-01 1.919804254958113951e-02 4.217567800878827683e-02 4.688566675068697905e-03 3.221252995702864746e-02
3.400140382544225570e+00 7.072455255744000135e-01 1.918364591657571033e-02 4.215715246578492087e-02 4.718467623344891823e-03 3.219385301973964886e-02
3.402587887389380228e+00 7.072177852380400198e-01 1.916926420206499851e-02 4.213861816297971574e-02 4.748298085403198157e-03 3.217520484883233667e-02
3.405037154008843547e+00 7.071900643969267763e-01 1.915489739872479683e-02 4.212007511836293738e-02 4.778058124076370664e-03 3.215658540935962401e-02
3.407488183670781545e+00 7.071623630364823887e-01 1.914054549923092582e-02 4.210152334992489642e-02 4.807747802197072894e-03 3.213799466637450031e-02
3.409940977644277726e+00 7.071346811421295175e-01 1.912620849625918176e-02 4.208296287565590349e-02 4.837367182598031716e-03 3.211943258492992032e-02
3.412395537199325091e+00 7.071070186992899353e-01 1.911188638248536784e-02 4.206439371354623452e-02 4.866916328111942774e-03 3.210089913007884571e-02
3.414851863606835014e+00 7.070793756933859697e-01 1.909757915058528030e-02 4.204581588158620015e-02 4.896395301571528601e-03 3.208239426687420348e-02
3.417309958138628811e+00 7.070517521098398372e-01 1.908328679323473970e-02 4.202722939776608324e-02 4.925804165809476165e-03 3.206391796036899694e-02
3.419769822067447951e+00 7.070241479340740876e-01 1.906900930310954576e-02 4.200863428007621525e-02 4.955142983658505397e-03 3.204547017561615307e-02
3.422231456666947835e+00 7.069965631515103821e-01 1.905474667288549126e-02 4.199003054650684436e-02 4.984411817951329288e-03 3.202705087766862663e-02
3.424694863211699580e+00 7.069689977475712706e-01 1.904049889523838635e-02 4.197141821504831588e-02 5.013610731520646083e-03 3.200866003157937928e-02
3.427160042977194454e+00 7.069414517076790805e-01 1.902626596284403421e-02 4.195279730369090576e-02 5.042739787199154028e-03 3.199029760240137271e-02
3.429626997239839437e+00 7.069139250172558064e-01 1.901204786837824498e-02 4.193416783042490381e-02 5.071799047819576522e-03 3.197196355518755473e-02
3.432095727276961217e+00 7.068864176617237760e-01 1.899784460451682533e-02 4.191552981324062760e-02 5.100788576214597067e-03 3.195365785499090783e-02
3.434566234366807969e+00 7.068589296265053168e-01 1.898365616393556110e-02 4.189688327012836000e-02 5.129708435216964214e-03 3.193538046686435206e-02
3.437038519788543578e+00 7.068314608970223123e-01 1.896948253931027284e-02 4.187822821907840470e-02 5.158558687659339781e-03 3.191713135586086297e-02
3.439512584822256969e+00 7.068040114586972011e-01 1.895532372331675680e-02 4.185956467808105846e-02 5.187339396374457574e-03 3.189891048703339532e-02
